subassembly,fabrication_class,part_id,file_name,path,size_bytes,sha256
500,OFF_THE_SHELF,ASV1_500_34X,ASV1_500_34X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_34X.STEP,1334445,02eac7574fdaa6aed345e2da776648ffca652646b1104a41b6ee20d631d856a3
500,OFF_THE_SHELF,ASV1_500_35X,ASV1_500_35X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_35X.STEP,1334445,02eac7574fdaa6aed345e2da776648ffca652646b1104a41b6ee20d631d856a3
500,OFF_THE_SHELF,ASV1_500_41X,ASV1_500_41X.STEP,mechanical/ASV1/500/FABRICATION/OFF_THE_SHELF/ASV1_500_41X.STEP,1228146,8aee9880aaa5edac2e7decf264545403f8a50e3db98caa2758b04793fa4dc520
600,ALU_7075,ASV1_600_05A,ASV1_600_05A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_05A.step.STEP,153235,a12f7dfcd4586e378f09e27bbd8ff56197ce8fd0c492a5db1654bf43de1bd6ef
600,ALU_7075,ASV1_600_06A,ASV1_600_06A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_06A.step.STEP,201365,69681202a2ba5905c458191d8119a675f07d3db93de7c44a29ab3f1ffeb690a0
600,ALU_7075,ASV1_600_08A,ASV1_600_08A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_08A.step.STEP,156138,b6aab3842d18c8ad3e84feca51d290a8e21e3b6948040cb5fd2414b0fa4473fd
600,ALU_7075,ASV1_600_09A,ASV1_600_09A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_09A.step.STEP,214745,2adcc8aa9a7305753d6eb1b98c3127d627b53c389f919c0df37a47c1ed41dcca
600,ALU_7075,ASV1_600_12A,ASV1_600_12A.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_12A.step.STEP,36431,3118119108f51e6e0c912e49724c8bafd00a57f2047c30e73f588baa4565bfc9
600,ALU_7075,ASV1_600_23A_SS,ASV1_600_23A_SS.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_23A_SS.step.STEP,1467142,ccb8ab1ffded74a19fff40514ab978a614241ee99dbda35ce94ecc6fd5cf6709
600,ALU_7075,ASV1_600_24A_SS,ASV1_600_24A_SS.step.STEP,mechanical/ASV1/600/FABRICATION/ALU_7075/ASV1_600_24A_SS.step.STEP,1467146,d87fc0d45a318ff7fb989ac751a43e229d0b5cd6900b060661361291808024a4
